Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
127279000,Listen for the Lie,Amy Tintera,"Tintera, Amy",,"=""1250880319""","=""9781250880314""",3,4.07,Celadon Books,Hardcover,336,2024,2024,2024/09/03,2024/09/03,,,read,"“We might all be dead soon, but that seems like too much to hope for”<br/><br/>Really fun and quick read, more of a light thriller, nothing very scary but still full of shocking twists. I’m hard to please when it comes to a twist ending but I think this one actually holds up. No plot holes and everything does resolve in the end (which is a very basic standard to have but is not actually easy to find), ending was surprising but not unbelievable to a fault. The podcast sections were fun to read and I bet it’s done well in the audiobook. <br/><br/>This book came up a lot when I was looking for something else to read in the vein of First Lie Wins by Ashley Elston which I read earlier this year. It reminded me much more of None of This is True by Lisa Jewell or even Dark Places by Gillian Flynn. ",,,1,0
36739755,Convenience Store Woman,Sayaka Murata,"Murata, Sayaka",Ginny Tapley Takemori,"=""0802128254""","=""9780802128256""",5,3.67,Grove Press,Hardcover,163,2018,2016,2024/02/15,2024/02/13,"otk-on-the-kindle, loved, books-about-normal-life","otk-on-the-kindle (#12), loved (#8), books-about-normal-life (#7)",read,Read this in one day on the train it was a delightful story about an autistic girl and I really liked it a lot,,,1,0
8909152,Attachments,Rainbow Rowell,"Rowell, Rainbow",,"=""""","=""""",4,3.86,Dutton,Hardcover,323,2011,2011,2013/07/15,2013/07/12,"loved, books-about-normal-life","loved (#17), books-about-normal-life (#6)",read,This is the first of a few books I loved in my teen years that I’ve been wanting to reread. According to the dates here I read this in two days in 2013. Over 10 years later I read this in two days again!! <br/>Perfect mix of drama and gossip and a good story with like able characters <br/>Devoured through this once again I knew I liked this one for a reason ,,,2,0
63094957,The Rachel Incident,Caroline O'Donoghue,"O'Donoghue, Caroline",,"=""0593535707""","=""9780593535707""",5,4.07,Knopf,Hardcover,304,2023,2023,2024/05/27,2024/05/22,"loved, books-about-normal-life","loved (#12), books-about-normal-life (#5)",read,"I’m a bit free with my five star reviews but this book was perfect. I’ve often said my favorite part about a thriller is the few chapters before it begins where everything is normal, and that’s what this book delivered. No real “plot” but absolutely never boring.",,,1,0
177058829,Worry,Alexandra  Tanner,"Tanner, Alexandra",,"=""""","=""""",3,3.29,Scribner,Kindle Edition,317,2024,2024,,2024/04/11,"otk-on-the-kindle, books-about-normal-life","otk-on-the-kindle (#26), books-about-normal-life (#4)",read,,,,2,0
180494602,Help Wanted,Adelle Waldman,"Waldman, Adelle",,"=""""","=""""",5,3.59,W. W. Norton & Company,Kindle Edition,282,2024,2024,2024/06/18,2024/04/11,"loved, books-about-normal-life","loved (#11), books-about-normal-life (#3)",read,"Months after I finished this book I find myself coming back to write a review which is rare because I don’t really have much to say about a lot of what I log on here. <br/>I worked in order fulfillment at target in college, and in pretty sure this book is supposed to be about target. The way the store operated under nightfall felt like magic, and getting a glimpse into the actual process was really intriguing. <br/>Mostly this book is about the characters, which are rich and interesting, workplace fiction is one of my favorite things to read because of the details that emerge from the mundanity of life at work. <br/>This book just works, highly recommend and will be rereading one day. ",,,1,0
43923951,Such a Fun Age,Kiley Reid,"Reid, Kiley",,"=""052554190X""","=""9780525541905""",5,3.77,G.P. Putnam's Sons,Hardcover,310,2019,2019,2024/07/24,2024/07/24,"loved, books-about-normal-life","loved (#15), books-about-normal-life (#2)",read,Fast and super enjoyable read. The dialogue and scenes were so clear that I literally forgot I was reading a book and not watching a movie. Excellent time reading this and sad it’s over. ,,,1,0
139400713,Martyr!,Kaveh Akbar,"Akbar, Kaveh",,"=""0593537610""","=""9780593537619""",4,4.16,Knopf,Hardcover,331,2024,2024,2024/07/28,2024/06/26,loved,loved (#14),read,"Lowered my rating to four stars from five after some thinking. <br/>Reading this book was so enjoyable, it inspired so much thought and really took me by surprise. I lowered the rating because of the plot twist, after thinking about it more and more I feel let down by such an unbelievable ending… I could say my own opinion on how it should have ended but I didn’t write the book so I don’t see how it’s important. But overall, highly recommend ",,,1,0
126919284,The Heiress,Rachel Hawkins,"Hawkins, Rachel",,"=""1250280036""","=""9781250280039""",3,3.84,St. Martin's Press,Hardcover,294,2024,2024,2024/07/22,2024/07/07,,,read,"Everyone loves this book and to that I say good I’m happy for you. <br/>I’ve read much worse but I’ve also read much better. <br/>Took too long to get me hooked, lot of stuff to get through and it felt like a slog. Sometimes you can’t get a book out of your head and this just wasn’t it for me. <br/><br/>All the twists were really interesting until the final one, but nothing held any weight in this book. Idk how else to put it. ",,,1,0
57773248,Notes on an Execution,Danya Kukafka,"Kukafka, Danya",,"=""0063052733""","=""9780063052734""",5,4.04,William Morrow,Hardcover,306,2022,2022,2024/07/15,2024/07/11,loved,loved (#13),read,A book so masterfully written that I savored every page. A new all time favorite.,,,1,0
